Economy_Code,Economy_Label,1995_US_at_current_prices_per_capita_Value,1996_US_at_current_prices_per_capita_Value,1997_US_at_current_prices_per_capita_Value,1998_US_at_current_prices_per_capita_Value,1999_US_at_current_prices_per_capita_Value,2000_US_at_current_prices_per_capita_Value,2001_US_at_current_prices_per_capita_Value,2002_US_at_current_prices_per_capita_Value,2003_US_at_current_prices_per_capita_Value,2004_US_at_current_prices_per_capita_Value,2005_US_at_current_prices_per_capita_Value,2006_US_at_current_prices_per_capita_Value,2007_US_at_current_prices_per_capita_Value,2008_US_at_current_prices_per_capita_Value,2009_US_at_current_prices_per_capita_Value,2010_US_at_current_prices_per_capita_Value,2011_US_at_current_prices_per_capita_Value,2012_US_at_current_prices_per_capita_Value,2013_US_at_current_prices_per_capita_Value,2014_US_at_current_prices_per_capita_Value,2015_US_at_current_prices_per_capita_Value,2016_US_at_current_prices_per_capita_Value,2017_US_at_current_prices_per_capita_Value,2018_US_at_current_prices_per_capita_Value,2019_US_at_current_prices_per_capita_Value,2020_US_at_current_prices_per_capita_Value,2021_US_at_current_prices_per_capita_Value,2022_US_at_current_prices_per_capita_Value,2023_US_at_current_prices_per_capita_Value
585,Palau,6420,7467,7884,7987,7572,7708,8173,8287,8035,8747,9321,9662,10095,10429,9818,9960,10747,11988,12720,13727,15782,16803,16035,15992,15671,14156,12248,12707,13822
591,Panama,3372,3407,3612,3839,3944,3922,3909,3985,4120,4432,4743,5159,6195,7209,7657,8193,9514,10931,12155,13122,14019,14799,15678,16146,16464,13297,15512,17388,18482
590,"Panama, excluding Canal Zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Papua New Guinea,1575,1618,1492,1101,970,955,809,778,917,998,1125,1238,1371,1625,1569,1867,2288,2635,2561,2723,2485,2316,2478,2578,2576,2430,2608,3098,3007
600,Paraguay,2280,2417,2395,2091,1889,1801,1608,1556,1601,1930,2075,2503,3212,4385,3943,4751,5805,5642,6436,6652,5879,5775,6152,6258,5821,5365,5977,6172,6242
604,Peru,2192,2228,2301,2156,1917,1945,1930,2008,2130,2398,2707,3130,3582,4200,4182,5072,5861,6519,6747,6667,6232,6217,6736,6978,7036,6150,6747,7248,7885
608,Philippines,1200,1311,1273,983,1101,1051,970,1015,1027,1100,1220,1426,1713,1959,1864,2163,2384,2615,2781,2867,2910,2985,3038,3169,3401,3228,3484,3547,3796
616,Poland,3709,4176,4156,4558,4441,4502,4991,5207,5702,6684,8030,9052,11284,14044,11571,12487,13724,12948,13481,14088,12468,12284,13714,15397,15593,15704,17911,17927,20888
620,Portugal,11775,12181,11574,12201,12474,11505,11734,12884,15769,18036,18773,19818,22773,24835,23041,22487,23188,20568,21645,22063,19220,19938,21427,23468,23202,22085,24592,24465,27886
630,Puerto Rico,11708,12360,13046,14546,15458,16423,18406,19060,19936,21145,22150,23112,23790,24976,25806,26483,27242,27853,28405,28734,29353,30016,30679,30686,31972,31483,32697,35000,37179
634,Qatar,15823,17125,20523,17665,20234,27535,25871,27227,31602,41036,53950,62582,65954,80781,61662,73204,92645,97966,97768,92962,66633,58373,59518,66398,63037,51513,63848,81972,79575
410,Republic of Korea,12488,13370,12402,8292,10699,12320,11641,13261,14790,16629,19537,21939,24339,21659,19444,23459,25510,25775,27377,29370,28750,29243,31540,33399,31897,31708,35072,32326,33113
498,Republic of Moldova,480,463,531,472,329,365,424,482,580,771,899,1043,1371,1923,1761,1920,2365,2501,2786,2813,2372,2465,2979,3568,3771,3757,4528,4773,5443
642,Romania,1652,1638,1587,1871,1622,1690,1843,2116,2677,3503,4641,5801,8365,10344,8461,8321,9497,8886,9460,10002,8952,9369,10673,12415,12872,12962,14849,15688,18342
643,Russian Federation,2713,2667,2758,1848,1340,1783,2113,2384,2981,4110,5335,6937,9123,11662,8582,10698,14203,15304,15853,14209,9383,8758,10768,11318,11554,10201,12596,15390,13641
646,Rwanda,217,207,252,271,265,252,237,234,249,269,324,357,426,528,564,593,651,706,705,725,732,729,758,772,811,779,829,975,991
659,Saint Kitts and Nevis,7406,7788,8618,8702,9107,9668,10475,10851,10467,11383,12360,14449,15354,16605,16503,16623,17832,17549,18588,20242,20325,21415,22507,22909,23595,18872,18409,20964,23075
662,Saint Lucia,4987,5228,5253,5688,5911,5902,5513,5493,5918,6451,6767,7607,7933,8452,8239,8676,9129,9260,9578,10047,10333,10620,11329,11629,11796,7971,9933,12111,13078
670,Saint Vincent and the Grenadines,2870,3048,3243,3526,3688,3769,4071,4303,4500,4873,5157,5745,6398,6599,6464,6552,6528,6714,7072,7169,7354,7657,7988,8428,8743,8395,8481,9277,10236
882,Samoa,1154,1288,1391,1294,1310,1308,1344,1473,1784,2125,2389,2480,3538,3597,3267,3620,4000,3942,4026,4089,4091,4276,4292,4307,4350,3912,4010,3982,4512
674,San Marino,40533,46072,42936,45494,47542,42568,44271,47183,59452,68856,70959,74818,84853,92651,78522,69858,63848,53802,55473,54703,41852,42954,44465,47941,46640,44428,53668,52236,56851
678,Sao Tome and Principe,731,939,629,488,516,503,493,541,626,668,781,812,859,1082,1056,1086,1256,1333,1568,1773,1589,1706,1829,1976,2018,2191,2380,2416,2892
682,Saudi Arabia,10772,11456,11530,9836,10452,11715,10805,10586,11487,13155,15976,17564,18596,22320,17718,20996,25919,27413,26898,26436,22335,21681,23227,27880,27518,23693,27725,34441,32034
686,Senegal,713,723,640,661,677,602,637,666,816,916,979,1016,1187,1393,1303,1275,1373,1327,1379,1397,1217,1266,1357,1453,1431,1461,1601,1574,1764
688,Serbia,,,,,,,,,,,,,,7002,6082,5654,6688,5913,6651,6512,5525,5710,6246,7214,7395,7724,9229,9360,11122
891,Serbia and Montenegro,2183,2317,2226,2026,1431,1239,1648,2107,2734,3173,3359,3905,5160,,,,,,,,,,,,,,,,
690,Seychelles,7859,7650,8540,9106,9163,8964,8821,9759,9725,9521,10296,11247,11347,10537,9163,10382,10714,10908,13386,13259,13358,14282,14902,15511,15879,11464,12180,15892,16067
694,Sierra Leone,282,304,271,212,210,195,232,252,268,270,300,335,375,425,405,414,461,580,733,729,604,536,507,541,527,513,525,421,390
702,Singapore,24851,26277,26372,21974,21754,23809,21815,22315,23596,27568,29943,33725,39365,40280,39076,47234,53907,55748,57111,57690,55743,57195,61254,66888,66467,61990,76411,82619,80952
534,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,27317,30443,33371,36494,36481,36650,33063,31709,36147,30245,33308,37328,41140
703,Slovakia,3743,4038,4082,4246,3871,3851,3980,4614,6321,8022,9120,10634,14331,17983,16535,16891,18486,17508,18281,18707,16395,16563,17597,19499,19394,19566,21786,21067,24172
705,Slovenia,10741,10824,10464,11184,11463,10213,10493,11794,14874,17263,18130,19709,23833,27433,24742,23555,25145,22685,23537,24257,20918,21702,23559,26179,26104,25558,29256,28357,32399
90,Solomon Islands,979,1086,1104,973,1037,931,933,774,896,986,1144,1256,1390,1526,1555,1685,1924,2066,2161,2165,2045,2083,2144,2278,2224,2063,2072,2045,2078
